Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-8.346714	3.4014707	-3.596887	-14.656948	98.0	-4.191328	2.7698922	0.78970456	-17.415335	600	-2.8212865e-08	7.0073967	-0.1410924	-4.8816814	12.718633	0.068202	0.9816667	79.0	11.191866636276245
1	-10.914895	4.5689406	-6.563879	-17.234205	96.6	-5.3541164	2.644217	0.9156223	-16.033045	1200	-1.11262004e-07	5.8804874	-0.13618882	-4.8712616	12.913323	0.10955148	0.79833335	7.0	23.94386315345764
2	-12.782336	3.6376169	-8.332373	-17.185755	114.2	-5.574213	3.0380788	1.1903008	-14.390979	1800	-1.9391378e-07	8.664166	-0.13550416	-6.475765	12.634896	0.09363771	0.7783333	9.0	37.30454683303833
3	-11.577652	4.002785	-5.7865815	-15.419324	117.2	-5.6579247	3.7313244	1.9395573	-15.658294	2400	6.516775e-08	8.244725	-0.13316725	-7.5688953	12.770909	0.099530764	0.76666665	8.0	49.55123519897461
4	-11.882581	5.390916	-3.994823	-16.95789	120.0	-4.752807	2.9524066	3.8633294	-14.782187	3000	-1.557668e-07	7.751084	-0.14096327	-6.3207273	12.697157	0.090999015	0.855	13.0	61.129420042037964
5	-11.68572	4.1786942	-4.963853	-16.178041	105.8	-5.348474	2.9417074	1.7353199	-14.104626	3600	-1.5894573e-08	5.8303256	-0.12413333	-4.461021	12.751639	0.088971	0.69166666	9.0	71.67166233062744
6	-9.792107	2.5633461	-5.929387	-13.525726	105.6	-5.4759755	3.533803	4.146215	-17.03505	4200	-8.1857046e-08	7.2697434	-0.13251701	-6.508204	12.826014	0.087104954	0.7966667	12.0	81.9544472694397
7	-11.325485	2.9065607	-8.037013	-15.536633	97.666664	-4.207558	2.8967419	2.6271658	-13.617824	4800	1.9073486e-08	7.628387	-0.14615667	-5.853936	12.822888	0.08168108	0.84833336	14.0	95.61000776290894
8	-11.125965	3.3139522	-5.6717653	-15.562099	108.8	-4.181885	2.8274286	2.4506145	-12.341258	5400	-5.165736e-09	6.8437037	-0.139843	-4.5112247	12.902247	0.07932461	0.86	18.0	112.46234607696533
9	-10.024691	3.347551	-6.4810724	-15.479118	102.6	-5.4579177	3.122865	4.1143456	-14.535914	6000	-1.5894573e-08	12.884143	-0.13571481	-11.641008	12.847898	0.09310731	0.79	10.0	129.52425169944763
10	-10.11991	4.968374	-4.4686556	-17.054663	95.666664	-5.649616	2.8108022	4.9778004	-15.679734	6600	2.5431316e-08	7.713081	-0.15428025	-6.444406	12.76765	0.049806908	0.9766667	79.0	146.7440061569214
11	-8.975096	4.990616	-1.0477566	-16.34206	107.2	-5.262183	4.438199	1.1362684	-20.541403	7200	8.503596e-08	7.462575	-0.13765973	-6.3346214	12.884586	0.08189538	0.8466667	14.0	163.9112102985382
12	-8.375887	2.5764408	-5.5587115	-13.066669	81.85714	-4.8988605	2.7035902	1.3866165	-13.846169	7800	-6.198883e-08	4.36399	-0.13767458	-3.778389	12.875097	0.08734198	0.74833333	8.0	180.74942708015442
13	-13.757475	2.7239234	-9.913346	-16.412252	113.4	-4.6996336	2.6833086	9.157575	-14.368421	8400	-9.8546344e-08	15.43288	-0.14205249	-13.344784	12.56339	0.077467576	0.895	21.0	197.5137963294983
14	-12.269666	2.6395328	-7.5099697	-15.623827	110.6	-7.569891	3.145647	0.28229874	-18.902222	9000	2.4636586e-07	8.114695	-0.13161132	-5.623583	12.67508	0.08816987	0.6533333	7.0	214.31997537612915
15	-12.042168	4.2253428	-6.8662553	-17.216917	99.166664	-6.6301775	3.2539616	1.770212	-17.622177	9600	-1.9073486e-08	13.488645	-0.12931237	-11.146434	12.64431	0.09456186	0.71	7.0	230.8019678592682
16	-14.063085	2.705404	-10.442273	-17.955496	110.4	-7.498684	3.6274822	2.3865294	-20.398903	10200	5.086263e-08	10.71984	-0.1264097	-7.6062417	12.738459	0.08167978	0.73333335	8.0	247.13618850708008
17	-12.621136	2.417323	-8.507353	-15.309383	104.4	-6.3627877	3.060845	1.0635626	-19.545664	10800	2.9404958e-08	7.2427897	-0.14249423	-5.153282	12.623765	0.08740742	0.82666665	12.0	263.96963906288147
18	-11.825351	4.396247	-3.840813	-15.563612	119.0	-7.56361	3.3000488	0.15340292	-21.016987	11400	-1.2397766e-07	13.137815	-0.1423972	-11.431159	12.90633	0.080129236	0.90166664	18.0	281.16595911979675
19	-10.84303	4.27754	-5.958988	-16.025204	120.0	-7.324488	3.9183233	1.2647651	-18.794806	12000	-3.33786e-08	12.290961	-0.13315922	-9.605951	12.684121	0.09022958	0.7083333	8.0	297.9890251159668
20	-10.297275	3.9703822	-4.5475144	-16.515652	97.4	-8.195749	3.227057	1.022599	-19.977894	12600	-1.0887782e-07	11.213464	-0.14281324	-8.961029	12.897295	0.09378236	0.83166665	9.0	314.95091581344604
21	-10.638278	2.823691	-7.7292213	-15.294309	109.6	-6.0978436	3.085405	0.65685016	-14.121374	13200	-3.576279e-08	9.660151	-0.14464034	-7.0115614	12.921984	0.07549631	0.8516667	19.0	331.75052785873413
22	-11.945104	3.8476279	-5.5935464	-15.706158	96.4	-5.455255	2.8628662	2.6336713	-15.674694	13800	0.0	10.106626	-0.1492206	-6.8749533	12.822268	0.039567262	0.9716667	79.0	348.5348675251007
23	-12.426765	3.8076017	-8.414291	-17.563437	103.6	-6.141604	3.2377908	4.659527	-15.436224	14400	9.934107e-08	12.67848	-0.1371406	-10.767433	12.739559	0.08677153	0.7316667	6.0	365.2251706123352
24	-11.086315	3.8671381	-7.0690975	-16.087456	98.833336	-5.7846127	3.9255733	1.2462487	-17.435102	15000	-3.8146972e-08	12.710765	-0.12883084	-11.648484	12.788477	0.08720484	0.7216667	7.0	381.69917821884155
25	-11.228714	4.9689665	-1.952429	-15.924111	92.5	-4.729161	2.832975	3.1217637	-13.822797	15600	-2.8610229e-08	10.799391	-0.13633646	-8.683992	12.689027	0.08067389	0.78333336	12.0	398.37313580513
26	-11.410449	4.916163	-4.1039324	-15.785032	108.0	-6.460303	2.7206001	0.72866654	-14.416943	16200	-4.45048e-08	10.19967	-0.1419202	-8.487404	12.817374	0.07789364	0.83166665	15.0	415.1957848072052
