Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-206.90486	32.943565	-153.27803	-273.0769	60.0	-2.2234018	1.427961	-0.39932716	-8.904259	600	1.0649363e-07	10678.838	-0.10580102	-1799.5381	9.243566	0.11578654	0.56166667	1.0	14.082134008407593
1	-197.90927	38.935146	-141.20346	-274.47302	60.0	-12.524172	1.630107	-3.5648098	-15.188374	1200	-9.8546344e-08	8581.325	-0.08198223	-1421.6987	9.438456	0.04520995	0.38333333	1.0	28.310781717300415
2	-200.68349	24.993385	-178.03488	-262.20764	60.0	-23.03464	1.875454	1.0917315	-24.702301	1800	1.6768773e-07	6774.46	-0.07096015	-1032.7593	9.160218	0.039701074	0.32	1.0	49.88766360282898
3	-189.99765	31.455511	-121.99981	-234.62785	60.0	-31.608282	1.9957111	-8.562716	-32.954662	2400	-1.0808309e-07	5166.7764	-0.061302256	-743.1387	9.296011	0.04733191	0.31	1.0	72.98120307922363
4	-198.91942	40.171387	-123.39984	-293.50058	60.0	-38.959908	4.40335	23.542973	-40.651947	3000	-7.311503e-08	5404.1367	-0.05384434	-725.75244	9.221065	0.04612265	0.385	1.0	95.9835193157196
5	-197.89459	32.947845	-126.77392	-241.63602	60.0	-45.59461	4.3313165	-13.084042	-48.097897	3600	2.6226044e-07	4186.638	-0.075998366	-534.28076	9.274119	0.044731546	0.46166667	2.0	118.92980670928955
6	nan	nan	nan	nan	60.0	-49.97965	8.425472	18.773893	-54.806385	4200	nan	nan	nan	nan	9.3473835	nan	0.0	79.0	141.9931194782257
7	nan	nan	nan	nan	60.0	nan	nan	nan	nan	4800	nan	nan	nan	nan	nan	nan	0.0	79.0	161.1532142162323
