Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-68.95973	0.11489505	-68.80839	-69.0753	1000.0	-0.0009262753	0.8924305	2.6694276	-3.1601484	4000	6.5803526e-08	40.99289	-0.004406347	-2.8661728	11.032355	0.07821817	0.11525	1.0	7.416622161865234
1	-69.38023	0.30445814	-69.01454	-69.85406	1000.0	-0.11770959	0.75398475	2.2470002	-6.7983327	8000	3.8146974e-09	39.727425	-0.0061023147	-2.2860222	11.109684	0.056398228	0.09	1.0	14.696884155273438
2	-70.04854	0.16434132	-69.789925	-70.24656	1000.0	-0.2300793	0.7452859	2.1167557	-8.29447	12000	5.8174134e-08	39.322453	-0.0058128517	-2.2072792	11.005097	0.039099388	0.0655	1.0	22.87102484703064
3	-69.92903	0.13985153	-69.7355	-70.11386	1000.0	-0.34617996	0.8434987	2.266134	-9.0665245	16000	-1.8596648e-07	38.284386	-0.005116362	-2.3781433	11.063453	0.03475561	0.05525	1.0	30.716318607330322
4	-70.14589	0.27473623	-69.778366	-70.51582	1000.0	-0.42659682	1.0076098	3.1010869	-8.961758	20000	-2.0986795e-07	37.065907	-0.008042197	-2.590805	11.015459	0.03775393	0.07175	2.0	37.448198080062866
5	-69.90962	0.20512258	-69.63939	-70.19525	1000.0	-0.51781964	1.0992992	3.2485533	-9.18137	24000	1.14440915e-07	36.21504	-0.008181069	-2.4009361	10.992168	0.039146565	0.081	2.0	44.2550151348114
6	-69.83587	0.1144648	-69.70742	-69.96234	1000.0	-0.6319326	1.1139698	3.466907	-8.654694	28000	8.440018e-08	35.11843	-0.0069331573	-2.3700447	11.072016	0.040439438	0.069	2.0	51.00608253479004
7	-70.31682	0.33723167	-70.07112	-70.893745	1000.0	-0.7471857	1.2334163	3.7402768	-8.995477	32000	-2.1457673e-08	34.31688	-0.010537219	-2.40172	10.974285	0.028799515	0.079	3.0	57.752928256988525
8	-70.43071	0.21289869	-70.23855	-70.77254	1000.0	-0.8257165	1.2470284	3.4597993	-9.74534	36000	-1.206398e-07	33.974422	-0.008836989	-2.35643	11.127575	0.028437044	0.0545	2.0	64.66365623474121
9	-70.407814	0.30269295	-70.04571	-70.83584	1000.0	-0.9236184	1.2523268	3.3456705	-9.40714	40000	-1.335144e-07	33.22684	-0.00918734	-2.2957268	10.970583	0.027889404	0.061	2.0	71.41491556167603
10	-70.54847	0.41999528	-69.91864	-71.10128	1000.0	-1.0041983	1.3217251	3.2557747	-10.1117115	44000	2.1219254e-08	32.490685	-0.009265093	-2.914482	10.994135	0.025068918	0.071	3.0	78.52366304397583
11	-70.78558	0.28639814	-70.57343	-71.271095	1000.0	-1.1488947	1.3720582	3.6068206	-10.963107	48000	8.058548e-08	31.449034	-0.0114794355	-6.4477806	11.112324	0.037003174	0.07675	3.0	85.31356287002563
12	-71.06796	0.5009964	-70.38822	-71.57266	1000.0	-1.6952888	1.5979048	4.9637423	-12.131452	52000	7.724762e-08	26.602337	-0.007925366	-8.371668	11.019397	0.024186634	0.06025	2.0	92.06502652168274
13	-71.173416	0.38353473	-70.66791	-71.74718	1000.0	-2.418122	1.3425766	3.9968295	-11.427175	56000	6.008148e-08	20.241274	-0.008010202	-4.0415363	11.082053	0.026186846	0.0525	2.0	98.77296471595764
14	-71.41272	0.3481735	-71.16615	-72.00996	1000.0	-2.7330408	1.1906435	2.8121543	-11.303324	60000	1.0299683e-07	17.588467	-0.0068356916	-2.872407	11.06132	0.028756917	0.0615	2.0	105.59796619415283
15	-71.54875	0.38038298	-71.118904	-72.11905	1000.0	-2.9774792	1.092553	1.0950509	-11.445513	64000	-1.6117096e-07	15.570556	-0.0071213236	-2.282156	11.030051	0.025282305	0.049	2.0	112.37064099311829
16	-71.970726	0.33817405	-71.61527	-72.36265	1000.0	-3.188661	1.0860729	1.9658346	-11.248558	68000	8.2015994e-08	14.195022	-0.007398123	-1.9797287	10.952309	0.033077154	0.0565	2.0	119.06518721580505
17	-71.84306	0.37201965	-71.31996	-72.33426	1000.0	-3.3452392	1.0823643	0.7989781	-10.538284	72000	5.4597855e-08	13.304831	-0.0063347723	-1.9127474	11.045338	0.023983637	0.05025	2.0	125.78561520576477
18	-71.67174	0.36802816	-71.19159	-72.18233	1000.0	-3.5219264	1.0371947	2.5082045	-10.429663	76000	-3.6239623e-08	12.135394	-0.006982273	-1.7821894	11.0038805	0.033979315	0.05025	2.0	132.95436882972717
19	-72.042496	0.35419333	-71.62206	-72.5385	1000.0	-3.677387	1.0277047	0.2683109	-10.402926	80000	2.1529198e-07	11.533934	-0.00829808	-2.0711937	10.996695	0.03664814	0.05325	2.0	139.99895429611206
