Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-58.871044	0.9601391	-57.980762	-60.4716	1000.0	-1.9783857	3.619171	6.159102	-6.7204585	4000	-4.3916702e-07	27.513601	0.3184434	-27.094608	-27.080853	52.98194	0.99925	1.0	7.365936994552612
1	-59.025394	1.5107203	-57.38603	-61.36232	1000.0	-5.1574597	1.1999073	3.6251628	-7.652448	8000	3.9100648e-08	2.2646313	0.25742546	-2.014114	-26.990221	27.469864	0.99875	1.0	14.041852235794067
2	-57.425827	1.7105399	-55.756783	-59.929394	1000.0	-5.533756	0.81954354	2.9810982	-7.4168615	12000	1.3828277e-07	0.7938096	0.2637983	-0.64846855	-27.118034	20.171946	0.99875	1.0	21.123317003250122
3	-59.822254	1.5258149	-58.69012	-62.43373	1000.0	-5.5316772	0.7595927	-0.9674073	-7.3962884	16000	-4.9710275e-07	0.6202288	0.28428748	-0.52363396	-27.01984	16.96992	0.997	1.0	28.52302646636963
4	-56.86249	2.9973745	-54.005962	-61.80547	1000.0	-5.8288097	0.69717103	-1.1841434	-7.5489283	20000	7.2050096e-07	0.5612969	0.26634932	-0.44973028	-27.053663	13.196523	0.995	1.0	36.365450620651245
5	-55.7497	4.1337247	-49.62837	-59.922493	1000.0	-5.472196	0.6048146	-1.2567085	-7.339946	24000	2.8371812e-07	0.34372783	0.351878	-0.26604614	-27.067476	6.912552	0.98675	1.0	44.97933793067932
6	-58.324055	1.7033284	-56.174072	-60.27916	1000.0	-5.5800986	0.619879	-2.2741408	-7.1965747	28000	-6.723404e-08	0.25215134	0.2671462	-0.20371647	-27.15711	7.6335487	0.98475	1.0	53.807573318481445
7	-56.430218	4.877703	-50.245808	-62.139725	1000.0	-5.4686084	0.65875596	0.74410737	-7.49777	32000	1.4543534e-07	0.34383306	0.25830093	-0.28217646	-27.094305	5.802389	0.97825	1.0	62.679014921188354
8	-57.462723	2.3162885	-53.86499	-59.67695	1000.0	-5.5279527	0.65642667	0.22109517	-7.3732786	36000	4.8923494e-07	0.29415643	0.27197406	-0.24613656	-27.093807	8.010056	0.987	1.0	71.58845210075378
9	-56.214603	6.034198	-50.21503	-63.452595	1000.0	-5.4406357	0.6875391	-1.4342403	-7.4355626	40000	-3.3712388e-07	0.21211031	0.2556959	-0.16364151	-27.120537	5.9275293	0.98025	1.0	81.55083084106445
10	-55.970715	3.699353	-50.049606	-59.76772	1000.0	-5.581873	0.68262756	0.33858413	-7.4876003	44000	-2.734661e-07	0.21188131	0.21338242	-0.17365602	-26.97114	3.6023085	0.959	1.0	92.41754865646362
11	-58.660423	1.8503306	-56.015575	-61.19709	1000.0	-5.7217646	0.65657926	-0.73830366	-7.338335	48000	-5.545616e-07	0.15725659	0.18227336	-0.12143451	-27.012846	1.6735308	0.91925	1.0	102.39151573181152
12	-56.88845	5.6060967	-49.518764	-64.40517	1000.0	-5.466489	0.65726733	-3.1600318	-7.2764482	52000	6.802082e-07	0.25597456	0.08500225	-0.21427315	-27.069235	0.68532693	0.85575	1.0	112.82510828971863
13	-58.695023	2.5328014	-54.390705	-60.76642	1000.0	-5.704427	0.58287084	-3.25756	-7.297476	56000	-3.2234192e-07	0.19118616	0.07744326	-0.1644322	-27.086082	0.6685198	0.86	1.0	123.52340769767761
